text_input,output
"
<mml:mrow>
<mml:mrow>
<mml:mo>-</mml:mo>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:mn>9</mml:mn>
<mml:msub>
<mml:mi>R</mml:mi>
<mml:mi>7M</mml:mi>
</mml:msub>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>b</mml:mi>
<mml:mi>ρχh</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msqrt>
<mml:msub>
<mml:mi>v</mml:mi>
<mml:mi>JWΩ</mml:mi>
</mml:msub>
</mml:msqrt>
<mml:mo>-</mml:mo>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>H</mml:mi>
<mml:mi>ΖΨΙ</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mn>3</mml:mn>
</mml:mrow>
","R_7M = Symbol('R_7M')
b_ρχh = Symbol('b_ρχh')
v_JWΩ = Symbol('v_JWΩ')
H_ΖΨΙ = Symbol('H_ΖΨΙ')
e = Eq(-cos(9*R_7M) + cos(b_ρχh), sqrt(v_JWΩ) - cos(H_ΖΨΙ) + 3)"
"
<mml:mrow>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:msub>
<mml:mi>Ξ</mml:mi>
<mml:mi>gξ</mml:mi>
</mml:msub>
</mml:msup>
<mml:mo>+</mml:mo>
<mml:mn>1</mml:mn>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mfrac>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:msub>
<mml:mi>C</mml:mi>
<mml:mi>aB</mml:mi>
</mml:msub>
</mml:msup>
<mml:mn>7</mml:mn>
</mml:mfrac>
</mml:mrow>
","Ξ_gξ = Symbol('Ξ_gξ')
C_aB = Symbol('C_aB')
e = Eq(exp(Ξ_gξ) + 1, exp(C_aB)/7)"
"
<mml:mrow>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mi>p</mml:mi>
</mml:msup>
<mml:mo>-</mml:mo>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:msub>
<mml:mi>Σ</mml:mi>
<mml:mi>ξZσ</mml:mi>
</mml:msub>
</mml:msup>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msub>
<mml:mi>v</mml:mi>
<mml:mi>VΞ</mml:mi>
</mml:msub>
<mml:mo>+</mml:mo>
<mml:mi>τ</mml:mi>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mi>W</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
","p = Symbol('p')
Σ_ξZσ = Symbol('Σ_ξZσ')
v_VΞ = Symbol('v_VΞ')
τ = Symbol('τ')
W = Symbol('W')
e = Eq(exp(p) - exp(Σ_ξZσ), v_VΞ + τ + log(W))"
"
<mml:mrow>
<mml:mrow>
<mml:mo>-</mml:mo>
<mml:msqrt>
<mml:msup>
<mml:mi>Ο</mml:mi>
<mml:mn>4</mml:mn>
</mml:msup>
</mml:msqrt>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:mi>W</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msqrt>
<mml:msub>
<mml:mi>k</mml:mi>
<mml:mi>Φ</mml:mi>
</mml:msub>
</mml:msqrt>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:msup>
<mml:msub>
<mml:mi>P</mml:mi>
<mml:mi>nΛο</mml:mi>
</mml:msub>
<mml:mi>i</mml:mi>
</mml:msup>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
","Ο = Symbol('Ο')
W = Symbol('W')
k_Φ = Symbol('k_Φ')
i = Symbol('i')
P_nΛο = Symbol('P_nΛο')
e = Eq(-sqrt(Ο**4) + cos(W), sqrt(k_Φ)*log(P_nΛο**i))"
"
<mml:mrow>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:msub>
<mml:mi>P</mml:mi>
<mml:mi>Ρs</mml:mi>
</mml:msub>
<mml:mo>+</mml:mo>
<mml:mn>3</mml:mn>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:mi>Η</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>y</mml:mi>
<mml:mi>ΣJ4</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mrow>
<mml:mi>Ο</mml:mi>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:msup>
<mml:msub>
<mml:mi>U</mml:mi>
<mml:mi>ΗΕΞ</mml:mi>
</mml:msub>
<mml:mi>χ</mml:mi>
</mml:msup>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:mi>δ</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
","P_Ρs = Symbol('P_Ρs')
Η = Symbol('Η')
y_ΣJ4 = Symbol('y_ΣJ4')
Ο = Symbol('Ο')
χ = Symbol('χ')
U_ΗΕΞ = Symbol('U_ΗΕΞ')
δ = Symbol('δ')
e = Eq(log(P_Ρs + 3)*sin(Η)*cos(y_ΣJ4), Ο*tan(U_ΗΕΞ**χ) + tan(δ))"
"
<mml:msup>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:msub>
<mml:mi>θ</mml:mi>
<mml:mi>KDΩ</mml:mi>
</mml:msub>
</mml:msup>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:mfrac>
<mml:mi>κ</mml:mi>
<mml:mn>9</mml:mn>
</mml:mfrac>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
</mml:msup>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msqrt>
<mml:msub>
<mml:mi>G</mml:mi>
<mml:mi>kζz</mml:mi>
</mml:msub>
</mml:msqrt>
<mml:mo>-</mml:mo>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mi>F</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
","κ = Symbol('κ')
θ_KDΩ = Symbol('θ_KDΩ')
G_kζz = Symbol('G_kζz')
F = Symbol('F')
e = Eq(exp(θ_KDΩ)**log(κ/9), sqrt(G_kζz) - log(F))"
"
<mml:msup>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>λ</mml:mi>
<mml:mi>ΓrE</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
<mml:mn>8</mml:mn>
</mml:msup>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mrow>
<mml:mo>-</mml:mo>
<mml:msub>
<mml:mi>G</mml:mi>
<mml:mi>mH</mml:mi>
</mml:msub>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mfrac>
<mml:msqrt>
<mml:msub>
<mml:mi>I</mml:mi>
<mml:mi>3</mml:mi>
</mml:msub>
</mml:msqrt>
<mml:msub>
<mml:mi>Ξ</mml:mi>
<mml:mi>Eι</mml:mi>
</mml:msub>
</mml:mfrac>
</mml:mrow>
</mml:mrow>
","λ_ΓrE = Symbol('λ_ΓrE')
G_mH = Symbol('G_mH')
I_3 = Symbol('I_3')
Ξ_Eι = Symbol('Ξ_Eι')
e = Eq(sin(λ_ΓrE)**8, -G_mH + sqrt(I_3)/Ξ_Eι)"
"
<mml:msup>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:mi>Η</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:msub>
<mml:mi>d</mml:mi>
<mml:mi>rb</mml:mi>
</mml:msub>
</mml:msup>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mi>Ν</mml:mi>
<mml:mo>+</mml:mo>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mrow>
<mml:msub>
<mml:mi>Π</mml:mi>
<mml:mi>p</mml:mi>
</mml:msub>
<mml:mo>-</mml:mo>
<mml:mn>3</mml:mn>
</mml:mrow>
</mml:msup>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>t</mml:mi>
<mml:mi>fS</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
","d_rb = Symbol('d_rb')
Η = Symbol('Η')
Ν = Symbol('Ν')
Π_p = Symbol('Π_p')
t_fS = Symbol('t_fS')
e = Eq(tan(Η)**d_rb, Ν + exp(Π_p - 3) + tan(t_fS))"
"
<mml:msup>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>N</mml:mi>
<mml:mi>Rzψ</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
<mml:msub>
<mml:mi>V</mml:mi>
<mml:mi>Δqη</mml:mi>
</mml:msub>
</mml:msup>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mn>9</mml:mn>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>c</mml:mi>
<mml:mi>sxΜ</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
","V_Δqη = Symbol('V_Δqη')
N_Rzψ = Symbol('N_Rzψ')
c_sxΜ = Symbol('c_sxΜ')
e = Eq(tan(N_Rzψ)**V_Δqη, 9*log(c_sxΜ))"
"
<mml:mrow>
<mml:mrow>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mi>W</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:mi>d</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:msub>
<mml:mi>y</mml:mi>
<mml:mi>UA</mml:mi>
</mml:msub>
<mml:mo>-</mml:mo>
<mml:mn>6</mml:mn>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mrow>
<mml:mo>-</mml:mo>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mi>o</mml:mi>
</mml:msup>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:msup>
<mml:mi>Β</mml:mi>
<mml:mi>w</mml:mi>
</mml:msup>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mi>η</mml:mi>
</mml:msup>
</mml:mrow>
","W = Symbol('W')
d = Symbol('d')
y_UA = Symbol('y_UA')
o = Symbol('o')
w = Symbol('w')
Β = Symbol('Β')
η = Symbol('η')
e = Eq(log(W)*cos(d) + cos(y_UA - 6), -exp(o)*cos(Β**w) + exp(η))"
"
<mml:msup>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>S</mml:mi>
<mml:mi>Vg9</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
<mml:msup>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mi>ν</mml:mi>
</mml:msup>
<mml:mi>Ξ</mml:mi>
</mml:msup>
</mml:msup>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mrow>
<mml:mo>-</mml:mo>
<mml:msub>
<mml:mi>W</mml:mi>
<mml:mi>6m</mml:mi>
</mml:msub>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>Θ</mml:mi>
<mml:mi>ρYΖ</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:msup>
<mml:mi>Ο</mml:mi>
<mml:mi>κ</mml:mi>
</mml:msup>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
","Ξ = Symbol('Ξ')
ν = Symbol('ν')
S_Vg9 = Symbol('S_Vg9')
W_6m = Symbol('W_6m')
Θ_ρYΖ = Symbol('Θ_ρYΖ')
κ = Symbol('κ')
Ο = Symbol('Ο')
e = Eq(log(S_Vg9)**(exp(ν)**Ξ), -W_6m + log(Θ_ρYΖ) + cos(Ο**κ))"
"
<mml:mrow>
<mml:mfrac>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mi>Y</mml:mi>
</mml:msup>
<mml:mi>g</mml:mi>
</mml:mfrac>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:msub>
<mml:mi>q</mml:mi>
<mml:mi>4</mml:mi>
</mml:msub>
</mml:msup>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mn>9</mml:mn>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:mi>Α</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
</mml:mrow>
","Y = Symbol('Y')
g = Symbol('g')
q_4 = Symbol('q_4')
Α = Symbol('Α')
e = Eq(exp(Y)/g, exp(q_4) + 9*cos(Α))"
