text_input,output
"
<mml:mrow>
<mml:mrow>
<mml:mo>-</mml:mo>
<mml:msub>
<mml:mi>k</mml:mi>
<mml:mrow>
<mml:mi>2</mml:mi>
<mml:mi>Α</mml:mi>
</mml:mrow>
</mml:msub>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>Α</mml:mi>
<mml:mrow>
<mml:mi>ζ</mml:mi>
<mml:mi>Μ</mml:mi>
</mml:mrow>
</mml:msub>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>Ψ</mml:mi>
<mml:mi>Λ</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
<mml:mo>-</mml:mo>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:mi>M</mml:mi>
<mml:mo>-</mml:mo>
<mml:mn>1</mml:mn>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
","k_2Α = Symbol('k_2Α')
Α_ζΜ = Symbol('Α_ζΜ')
Ψ_Λ = Symbol('Ψ_Λ')
M = Symbol('M')
e = Eq(-k_2Α + tan(Α_ζΜ), log(Ψ_Λ) - tan(M - 1))"
"
<mml:mrow>
<mml:mfrac>
<mml:mrow>
<mml:msub>
<mml:mi>v</mml:mi>
<mml:mi>I</mml:mi>
</mml:msub>
<mml:msqrt>
<mml:mi>τ</mml:mi>
</mml:msqrt>
</mml:mrow>
<mml:msqrt>
<mml:mrow>
<mml:msub>
<mml:mi>x</mml:mi>
<mml:mrow>
<mml:mi>u</mml:mi>
<mml:mi>B</mml:mi>
</mml:mrow>
</mml:msub>
<mml:mo>-</mml:mo>
<mml:mn>1</mml:mn>
</mml:mrow>
</mml:msqrt>
</mml:mfrac>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:mn>3</mml:mn>
<mml:msub>
<mml:mi>v</mml:mi>
<mml:mi>I</mml:mi>
</mml:msub>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:mi>C</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
","v_I = Symbol('v_I')
τ = Symbol('τ')
x_uB = Symbol('x_uB')
C = Symbol('C')
e = Eq(v_I*sqrt(τ)/sqrt(x_uB - 1), log(3*v_I)*tan(C))"
"
<mml:mrow>
<mml:msqrt>
<mml:mi>P</mml:mi>
</mml:msqrt>
<mml:mo>+</mml:mo>
<mml:mn>5</mml:mn>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mfrac>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mi>Ψ</mml:mi>
</mml:msup>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:msub>
<mml:mi>λ</mml:mi>
<mml:mrow>
<mml:mi>W</mml:mi>
<mml:mi>Μ</mml:mi>
</mml:mrow>
</mml:msub>
</mml:msup>
</mml:mfrac>
</mml:mrow>
","P = Symbol('P')
Ψ = Symbol('Ψ')
λ_WΜ = Symbol('λ_WΜ')
e = Eq(sqrt(P) + 5, exp(Ψ)*exp(-λ_WΜ))"
"
<mml:mrow>
<mml:msqrt>
<mml:mi>J</mml:mi>
</mml:msqrt>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mfrac>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:msub>
<mml:mi>k</mml:mi>
<mml:mrow>
<mml:mi>M</mml:mi>
<mml:mi>6</mml:mi>
</mml:mrow>
</mml:msub>
</mml:msup>
<mml:mn>8</mml:mn>
</mml:mfrac>
</mml:mrow>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msub>
<mml:mi>N</mml:mi>
<mml:mrow>
<mml:mi>Τ</mml:mi>
<mml:mi>Π</mml:mi>
<mml:mi>Π</mml:mi>
</mml:mrow>
</mml:msub>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mi>d</mml:mi>
</mml:msup>
</mml:mrow>
","J = Symbol('J')
k_M6 = Symbol('k_M6')
N_ΤΠΠ = Symbol('N_ΤΠΠ')
d = Symbol('d')
e = Eq(sqrt(J) + exp(k_M6)/8, N_ΤΠΠ*exp(d))"
"
<mml:msup>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:mi>ο</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:msub>
<mml:mi>t</mml:mi>
<mml:mrow>
<mml:mi>Β</mml:mi>
<mml:mi>C</mml:mi>
<mml:mi>o</mml:mi>
</mml:mrow>
</mml:msub>
<mml:mo>-</mml:mo>
<mml:mi>χ</mml:mi>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
</mml:msup>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msqrt>
<mml:mi>Z</mml:mi>
</mml:msqrt>
<mml:mo>-</mml:mo>
<mml:mi>a</mml:mi>
<mml:mo>-</mml:mo>
<mml:mn>3</mml:mn>
</mml:mrow>
","t_ΒCo = Symbol('t_ΒCo')
χ = Symbol('χ')
ο = Symbol('ο')
Z = Symbol('Z')
a = Symbol('a')
e = Eq(cos(ο)**tan(t_ΒCo - χ), sqrt(Z) - a - 3)"
"
<mml:mrow>
<mml:mrow>
<mml:mo>-</mml:mo>
<mml:mfrac>
<mml:mi>A</mml:mi>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:mfrac>
<mml:mi>μ</mml:mi>
<mml:mn>7</mml:mn>
</mml:mfrac>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
</mml:mfrac>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mi>δ</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:msub>
<mml:mi>M</mml:mi>
<mml:mi>Q</mml:mi>
</mml:msub>
</mml:msup>
<mml:mo>-</mml:mo>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:mi>k</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mo>-</mml:mo>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:mfrac>
<mml:msub>
<mml:mi>θ</mml:mi>
<mml:mrow>
<mml:mi>N</mml:mi>
<mml:mi>t</mml:mi>
<mml:mi>j</mml:mi>
</mml:mrow>
</mml:msub>
<mml:mn>6</mml:mn>
</mml:mfrac>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
","A = Symbol('A')
μ = Symbol('μ')
δ = Symbol('δ')
M_Q = Symbol('M_Q')
k = Symbol('k')
θ_Ntj = Symbol('θ_Ntj')
e = Eq(-A/log(μ/7) + log(δ), exp(M_Q) - cos(k) - cos(θ_Ntj/6))"
"
<mml:mrow>
<mml:mfrac>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>G</mml:mi>
<mml:mi>β</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
<mml:mi>θ</mml:mi>
</mml:mfrac>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msqrt>
<mml:mi>b</mml:mi>
</mml:msqrt>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mfrac>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mi>Η</mml:mi>
</mml:msup>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mi>υ</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:mfrac>
</mml:mrow>
</mml:mrow>
","G_β = Symbol('G_β')
θ = Symbol('θ')
b = Symbol('b')
Η = Symbol('Η')
υ = Symbol('υ')
e = Eq(sin(G_β)/θ, sqrt(b) + exp(Η)/log(υ))"
"
<mml:mrow>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>Β</mml:mi>
<mml:mrow>
<mml:mi>Μ</mml:mi>
<mml:mi>E</mml:mi>
<mml:mi>Ζ</mml:mi>
</mml:mrow>
</mml:msub>
</mml:mfenced>
</mml:mrow>
<mml:mo>-</mml:mo>
<mml:mn>3</mml:mn>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:msup>
<mml:mi>Λ</mml:mi>
<mml:mrow>
<mml:mfrac>
<mml:msup>
<mml:mi>η</mml:mi>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:mi>D</mml:mi>
<mml:mo>+</mml:mo>
<mml:mn>5</mml:mn>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
</mml:msup>
<mml:mn>2</mml:mn>
</mml:mfrac>
</mml:mrow>
</mml:msup>
","Β_ΜEΖ = Symbol('Β_ΜEΖ')
D = Symbol('D')
η = Symbol('η')
Λ = Symbol('Λ')
e = Eq(cos(Β_ΜEΖ) - 3, Λ**(η**log(D + 5)/2))"
"
<mml:mrow>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mrow>
<mml:mi>v</mml:mi>
<mml:mo>-</mml:mo>
<mml:mn>3</mml:mn>
</mml:mrow>
</mml:msup>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mi>Μ</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>H</mml:mi>
<mml:mrow>
<mml:mi>Ξ</mml:mi>
<mml:mi>Ψ</mml:mi>
<mml:mi>r</mml:mi>
</mml:mrow>
</mml:msub>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:msup>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>Υ</mml:mi>
<mml:mi>χ</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:msub>
<mml:mi>Ρ</mml:mi>
<mml:mi>J</mml:mi>
</mml:msub>
</mml:msup>
</mml:msup>
","v = Symbol('v')
Μ = Symbol('Μ')
H_ΞΨr = Symbol('H_ΞΨr')
Ρ_J = Symbol('Ρ_J')
Υ_χ = Symbol('Υ_χ')
e = Eq(exp(v - 3) + log(Μ)*tan(H_ΞΨr), cos(Υ_χ)**exp(Ρ_J))"
"
<mml:msup>
<mml:mi>ψ</mml:mi>
<mml:mrow>
<mml:mfrac>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mrow>
<mml:mfrac>
<mml:msub>
<mml:mi>k</mml:mi>
<mml:mrow>
<mml:mi>Ν</mml:mi>
<mml:mi>λ</mml:mi>
<mml:mi>Γ</mml:mi>
</mml:mrow>
</mml:msub>
<mml:mi>ζ</mml:mi>
</mml:mfrac>
</mml:mrow>
</mml:msup>
<mml:mn>2</mml:mn>
</mml:mfrac>
</mml:mrow>
</mml:msup>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msqrt>
<mml:mi>A</mml:mi>
</mml:msqrt>
<mml:mo>+</mml:mo>
<mml:mi>μ</mml:mi>
</mml:mrow>
","k_ΝλΓ = Symbol('k_ΝλΓ')
ζ = Symbol('ζ')
ψ = Symbol('ψ')
A = Symbol('A')
μ = Symbol('μ')
e = Eq(ψ**(exp(k_ΝλΓ/ζ)/2), sqrt(A) + μ)"
