text_input,output
"<mml:mi>l</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mn>3</mml:mn>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>w</mml:mi>
<mml:mrow>
<mml:mi>υ</mml:mi>
<mml:mi>z</mml:mi>
</mml:mrow>
</mml:msub>
</mml:mfenced>
</mml:mrow>
</mml:mrow>","l = Symbol('l')
w_υz = Symbol('w_υz')
e = Eq(l, 3*sin(w_υz))"
"<mml:mi>D</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mfrac>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:mi>π</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:msqrt>
<mml:mi>Δ</mml:mi>
</mml:msqrt>
</mml:mfrac>
</mml:mrow>","D = Symbol('D')
π = Symbol('π')
Δ = Symbol('Δ')
e = Eq(D, cos(π)/sqrt(Δ))"
"<mml:mi>Ν</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msup>
<mml:msub>
<mml:mi>M</mml:mi>
<mml:mrow>
<mml:mi>t</mml:mi>
<mml:mi>Q</mml:mi>
</mml:mrow>
</mml:msub>
<mml:mrow>
<mml:msqrt>
<mml:mn>7</mml:mn>
</mml:msqrt>
<mml:msqrt>
<mml:msub>
<mml:mi>y</mml:mi>
<mml:mi>D</mml:mi>
</mml:msub>
</mml:msqrt>
</mml:mrow>
</mml:msup>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:mi>Ζ</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:mrow>","Ν = Symbol('Ν')
y_D = Symbol('y_D')
M_tQ = Symbol('M_tQ')
Ζ = Symbol('Ζ')
e = Eq(Ν, M_tQ**(sqrt(7)*sqrt(y_D))*sin(Ζ))"
"<mml:msub>
<mml:mi>Ξ</mml:mi>
<mml:mrow>
<mml:mi>Η</mml:mi>
<mml:mi>F</mml:mi>
</mml:mrow>
</mml:msub>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mrow>
<mml:msqrt>
<mml:mi>W</mml:mi>
</mml:msqrt>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:msup>
<mml:mi>Δ</mml:mi>
<mml:mi>κ</mml:mi>
</mml:msup>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:mi>g</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:mrow>","Ξ_ΗF = Symbol('Ξ_ΗF')
W = Symbol('W')
κ = Symbol('κ')
Δ = Symbol('Δ')
g = Symbol('g')
e = Eq(Ξ_ΗF, sqrt(W)*sin(Δ**κ) + cos(g))"
"<mml:mi>v</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msqrt>
<mml:mi>Φ</mml:mi>
</mml:msqrt>
<mml:mo>-</mml:mo>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:mrow>
<mml:mo>-</mml:mo>
<mml:msub>
<mml:mi>o</mml:mi>
<mml:mrow>
<mml:mi>i</mml:mi>
<mml:mi>e</mml:mi>
<mml:mi>Θ</mml:mi>
</mml:mrow>
</mml:msub>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mi>φ</mml:mi>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
</mml:mrow>","v = Symbol('v')
Φ = Symbol('Φ')
o_ieΘ = Symbol('o_ieΘ')
φ = Symbol('φ')
e = Eq(v, sqrt(Φ) - log(-o_ieΘ + φ))"
"<mml:mi>σ</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msup>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:mi>Ι</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:mi>V</mml:mi>
<mml:mo>-</mml:mo>
<mml:mn>8</mml:mn>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
</mml:msup>
<mml:mo>-</mml:mo>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:mi>c</mml:mi>
<mml:mo>-</mml:mo>
<mml:mn>3</mml:mn>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
</mml:mrow>","σ = Symbol('σ')
V = Symbol('V')
Ι = Symbol('Ι')
c = Symbol('c')
e = Eq(σ, sin(Ι)**sin(V - 8) - cos(c - 3))"
"<mml:mi>Y</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mfrac>
<mml:mrow>
<mml:mn>3</mml:mn>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:mi>p</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:mfrac>
<mml:mi>Υ</mml:mi>
<mml:mn>2</mml:mn>
</mml:mfrac>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
</mml:mfrac>
</mml:mrow>","Y = Symbol('Y')
p = Symbol('p')
Υ = Symbol('Υ')
e = Eq(Y, 3*sin(p)/sin(Υ/2))"
"<mml:mi>E</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msqrt>
<mml:msub>
<mml:mi>η</mml:mi>
<mml:mrow>
<mml:mi>K</mml:mi>
<mml:mi>k</mml:mi>
</mml:mrow>
</mml:msub>
</mml:msqrt>
<mml:mo>-</mml:mo>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>α</mml:mi>
<mml:mi>i</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
</mml:mrow>","E = Symbol('E')
η_Kk = Symbol('η_Kk')
α_i = Symbol('α_i')
e = Eq(E, sqrt(η_Kk) - sin(α_i))"
"<mml:mi>ν</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mfrac>
<mml:msqrt>
<mml:mi>ξ</mml:mi>
</mml:msqrt>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mi>x</mml:mi>
</mml:msup>
</mml:mfrac>
</mml:mrow>","ν = Symbol('ν')
ξ = Symbol('ξ')
x = Symbol('x')
e = Eq(ν, sqrt(ξ)*exp(-x))"
"<mml:msub>
<mml:mi>z</mml:mi>
<mml:mrow>
<mml:mi>a</mml:mi>
<mml:mi>τ</mml:mi>
</mml:mrow>
</mml:msub>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mn>2</mml:mn>
<mml:msqrt>
<mml:mi>π</mml:mi>
</mml:msqrt>
</mml:mrow>","z_aτ = Symbol('z_aτ')
π = Symbol('π')
e = Eq(z_aτ, 2*sqrt(π))"
"<mml:mi>r</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mfrac>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mi>m</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mn>54</mml:mn>
</mml:mfrac>
</mml:mrow>","r = Symbol('r')
m = Symbol('m')
e = Eq(r, log(m)/54)"
"<mml:mi>α</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mrow>
<mml:mo>-</mml:mo>
<mml:msqrt>
<mml:msup>
<mml:msub>
<mml:mi>Ο</mml:mi>
<mml:mrow>
<mml:mi>Z</mml:mi>
<mml:mi>η</mml:mi>
<mml:mi>3</mml:mi>
</mml:mrow>
</mml:msub>
<mml:mn>7</mml:mn>
</mml:msup>
</mml:msqrt>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>Τ</mml:mi>
<mml:mrow>
<mml:mi>h</mml:mi>
<mml:mi>n</mml:mi>
</mml:mrow>
</mml:msub>
</mml:mfenced>
</mml:mrow>
</mml:mrow>","α = Symbol('α')
Ο_Zη3 = Symbol('Ο_Zη3')
Τ_hn = Symbol('Τ_hn')
e = Eq(α, -sqrt(Ο_Zη3**7) + cos(Τ_hn))"
"<mml:mi>C</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msqrt>
<mml:mi>Ο</mml:mi>
</mml:msqrt>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mrow>
<mml:mfrac>
<mml:mi>H</mml:mi>
<mml:mi>υ</mml:mi>
</mml:mfrac>
</mml:mrow>
</mml:msup>
</mml:mrow>","C = Symbol('C')
Ο = Symbol('Ο')
H = Symbol('H')
υ = Symbol('υ')
e = Eq(C, sqrt(Ο)*exp(H/υ))"
