MathML,Python
"
<mml:msup>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mi>r</mml:mi>
</mml:msup>
<mml:msup>
<mml:mi>K</mml:mi>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mrow>
<mml:mi>ι</mml:mi>
<mml:mi>ρ</mml:mi>
</mml:mrow>
</mml:msup>
</mml:msup>
</mml:msup>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:mi>d</mml:mi>
</mml:mfenced>
</mml:mrow>
","ι = Symbol('ι')
ρ = Symbol('ρ')
K = Symbol('K')
r = Symbol('r')
d = Symbol('d')
e = Eq(exp(r)**(K**exp(ι*ρ)), cos(d))"
"
<mml:mrow>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mi>z</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mfrac>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mi>t</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mi>X</mml:mi>
</mml:mfrac>
</mml:mrow>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:msup>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:mi>ε</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mi>H</mml:mi>
</mml:msup>
</mml:msup>
","z = Symbol('z')
t = Symbol('t')
X = Symbol('X')
H = Symbol('H')
ε = Symbol('ε')
e = Eq(log(z) + log(t)/X, tan(ε)**exp(H))"
"
<mml:mrow>
<mml:msqrt>
<mml:mi>P</mml:mi>
</mml:msqrt>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mfrac>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>κ</mml:mi>
<mml:mi>λ</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
<mml:msqrt>
<mml:msub>
<mml:mi>N</mml:mi>
<mml:mi>q</mml:mi>
</mml:msub>
</mml:msqrt>
</mml:mfrac>
</mml:mrow>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mrow>
<mml:mo>-</mml:mo>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mrow>
<mml:msub>
<mml:mi>T</mml:mi>
<mml:mi>Λ</mml:mi>
</mml:msub>
<mml:msub>
<mml:mi>δ</mml:mi>
<mml:mi>δ</mml:mi>
</mml:msub>
</mml:mrow>
</mml:msup>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mi>k</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:mi>Φ</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
","P = Symbol('P')
κ_λ = Symbol('κ_λ')
N_q = Symbol('N_q')
T_Λ = Symbol('T_Λ')
δ_δ = Symbol('δ_δ')
k = Symbol('k')
Φ = Symbol('Φ')
e = Eq(sqrt(P) + log(κ_λ)/sqrt(N_q), -exp(T_Λ*δ_δ) + log(k) + sin(Φ))"
"
<mml:mrow>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>O</mml:mi>
<mml:mi>Y</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>Ξ</mml:mi>
<mml:mi>Υ</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mi>μ</mml:mi>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>O</mml:mi>
<mml:mi>Y</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
","O_Y = Symbol('O_Y')
Ξ_Υ = Symbol('Ξ_Υ')
μ = Symbol('μ')
e = Eq(cos(O_Y) + cos(Ξ_Υ), μ + log(O_Y))"
"
<mml:mrow>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mi>Υ</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mfrac>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:mi>F</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mn>7</mml:mn>
</mml:mfrac>
</mml:mrow>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msup>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>V</mml:mi>
<mml:mi>δ</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:mi>ο</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:msup>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>Ν</mml:mi>
<mml:mi>t</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
","Υ = Symbol('Υ')
F = Symbol('F')
ο = Symbol('ο')
V_δ = Symbol('V_δ')
Ν_t = Symbol('Ν_t')
e = Eq(log(Υ) + cos(F)/7, cos(V_δ)**cos(ο) + cos(Ν_t))"
"
<mml:mrow>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mi>K</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:mi>μ</mml:mi>
<mml:mo>+</mml:mo>
<mml:mn>9</mml:mn>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:msup>
<mml:mi>D</mml:mi>
<mml:mn>4</mml:mn>
</mml:msup>
","K = Symbol('K')
μ = Symbol('μ')
D = Symbol('D')
e = Eq(log(K) + tan(μ + 9), D**4)"
"
<mml:mrow>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mi>R</mml:mi>
</mml:msup>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>R</mml:mi>
<mml:mi>ξ</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mrow>
<mml:msub>
<mml:mi>n</mml:mi>
<mml:mi>D</mml:mi>
</mml:msub>
<mml:mo>+</mml:mo>
<mml:mi>ρ</mml:mi>
</mml:mrow>
</mml:msup>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:mi>f</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
","R = Symbol('R')
R_ξ = Symbol('R_ξ')
n_D = Symbol('n_D')
ρ = Symbol('ρ')
f = Symbol('f')
e = Eq(exp(R)*cos(R_ξ), exp(n_D + ρ)*cos(f))"
"
<mml:mrow>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mi>κ</mml:mi>
</mml:msup>
<mml:mo>-</mml:mo>
<mml:mrow>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:mi>ι</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:mi>q</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:msup>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mi>η</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:mi>l</mml:mi>
<mml:mo>-</mml:mo>
<mml:mn>9</mml:mn>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
</mml:msup>
","κ = Symbol('κ')
ι = Symbol('ι')
q = Symbol('q')
l = Symbol('l')
η = Symbol('η')
e = Eq(exp(κ) - cos(ι)*tan(q), log(η)**tan(l - 9))"
"
<mml:msup>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:msub>
<mml:mi>L</mml:mi>
<mml:mi>U</mml:mi>
</mml:msub>
</mml:msup>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>l</mml:mi>
<mml:mi>κ</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
</mml:msup>
<mml:mo>=</mml:mo>
<mml:msup>
<mml:mi>Y</mml:mi>
<mml:mrow>
<mml:mfrac>
<mml:msqrt>
<mml:mrow>
<mml:mfrac>
<mml:mi>y</mml:mi>
<mml:mi>s</mml:mi>
</mml:mfrac>
</mml:mrow>
</mml:msqrt>
<mml:mn>2</mml:mn>
</mml:mfrac>
</mml:mrow>
</mml:msup>
","l_κ = Symbol('l_κ')
L_U = Symbol('L_U')
y = Symbol('y')
s = Symbol('s')
Y = Symbol('Y')
e = Eq(exp(L_U)**log(l_κ), Y**(sqrt(y/s)/2))"
"
<mml:mrow>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:mi>Y</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mo>-</mml:mo>
<mml:mrow>
<mml:mfrac>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:mi>t</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:mfrac>
<mml:mi>R</mml:mi>
<mml:msub>
<mml:mi>g</mml:mi>
<mml:mi>χ</mml:mi>
</mml:msub>
</mml:mfrac>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
</mml:mfrac>
</mml:mrow>
</mml:mrow>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mrow>
<mml:mfrac>
<mml:msqrt>
<mml:msub>
<mml:mi>Ζ</mml:mi>
<mml:mi>j</mml:mi>
</mml:msub>
</mml:msqrt>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mrow>
<mml:mfrac>
<mml:mi>Τ</mml:mi>
<mml:msub>
<mml:mi>Φ</mml:mi>
<mml:mi>ι</mml:mi>
</mml:msub>
</mml:mfrac>
</mml:mrow>
</mml:msup>
</mml:mfrac>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:mi>C</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
","Y = Symbol('Y')
t = Symbol('t')
R = Symbol('R')
g_χ = Symbol('g_χ')
Ζ_j = Symbol('Ζ_j')
Τ = Symbol('Τ')
Φ_ι = Symbol('Φ_ι')
C = Symbol('C')
e = Eq(tan(Y) - tan(t)/tan(R/g_χ), sqrt(Ζ_j)*exp(-Τ/Φ_ι) + sin(C))"
