text_input,output
<mml:mi>χ</mml:mi>\n<mml:mo>=</mml:mo>\n<mml:mrow>\n<mml:msub>\n<mml:mi>Δ</mml:mi>\n<mml:mrow>\n<mml:mi>Υ</mml:mi>\n<mml:mi>λ</mml:mi>\n</mml:mrow>\n</mml:msub>\n<mml:mo>+</mml:mo>\n<mml:mrow>\n<mml:msqrt>\n<mml:msub>\n<mml:mi>Ε</mml:mi>\n<mml:mrow>\n<mml:mi>P</mml:mi>\n<mml:mi>Τ</mml:mi>\n</mml:mrow>\n</mml:msub>\n</mml:msqrt>\n<mml:msqrt>\n<mml:mrow>\n<mml:mi>z</mml:mi>\n<mml:mo>-</mml:mo>\n<mml:mn>1</mml:mn>\n</mml:mrow>\n</mml:msqrt>\n</mml:mrow>\n</mml:mrow>,"χ = Symbol('χ')\nΔ_Υλ = Symbol('Δ_Υλ')\nΕ_PΤ = Symbol('Ε_PΤ')\nz = Symbol('z')\ne = Eq(χ, Δ_Υλ + sqrt(Ε_PΤ)*sqrt(z - 1))"
<mml:mi>Ω</mml:mi>\n<mml:mo>=</mml:mo>\n<mml:mrow>\n<mml:mrow>\n<mml:mi>cos</mml:mi>\n<mml:mfenced>\n<mml:mi>Γ</mml:mi>\n</mml:mfenced>\n</mml:mrow>\n<mml:mrow>\n<mml:mi>tan</mml:mi>\n<mml:mfenced>\n<mml:mrow>\n<mml:mfrac>\n<mml:mi>Θ</mml:mi>\n<mml:mi>π</mml:mi>\n</mml:mfrac>\n</mml:mrow>\n</mml:mfenced>\n</mml:mrow>\n</mml:mrow>,"Ω = Symbol('Ω')\nΓ = Symbol('Γ')\nΘ = Symbol('Θ')\nπ = Symbol('π')\ne = Eq(Ω, cos(Γ)*tan(Θ/π))"
<mml:mi>Δ</mml:mi>\n<mml:mo>=</mml:mo>\n<mml:msup>\n<mml:mrow>\n<mml:mi>log</mml:mi>\n<mml:mfenced>\n<mml:msub>\n<mml:mi>f</mml:mi>\n<mml:mrow>\n<mml:mi>Ω</mml:mi>\n<mml:mi>k</mml:mi>\n</mml:mrow>\n</mml:msub>\n</mml:mfenced>\n</mml:mrow>\n<mml:mrow>\n<mml:mi>cos</mml:mi>\n<mml:mfenced>\n<mml:mrow>\n<mml:msub>\n<mml:mi>P</mml:mi>\n<mml:mrow>\n<mml:mi>4</mml:mi>\n<mml:mi>Θ</mml:mi>\n</mml:mrow>\n</mml:msub>\n<mml:mo>-</mml:mo>\n<mml:mi>R</mml:mi>\n</mml:mrow>\n</mml:mfenced>\n</mml:mrow>\n</mml:msup>,"Δ = Symbol('Δ')\nP_4Θ = Symbol('P_4Θ')\nR = Symbol('R')\nf_Ωk = Symbol('f_Ωk')\ne = Eq(Δ, log(f_Ωk)**cos(P_4Θ - R))"
<mml:mi>Σ</mml:mi>\n<mml:mo>=</mml:mo>\n<mml:msup>\n<mml:mrow>\n<mml:mi>sin</mml:mi>\n<mml:mfenced>\n<mml:mi>Ζ</mml:mi>\n</mml:mfenced>\n</mml:mrow>\n<mml:msup>\n<mml:mtext>exp</mml:mtext>\n<mml:mrow>\n<mml:msub>\n<mml:mi>P</mml:mi>\n<mml:mrow>\n<mml:mi>δ</mml:mi>\n<mml:mi>ψ</mml:mi>\n<mml:mi>S</mml:mi>\n</mml:mrow>\n</mml:msub>\n<mml:mo>-</mml:mo>\n<mml:mi>h</mml:mi>\n</mml:mrow>\n</mml:msup>\n</mml:msup>,"Σ = Symbol('Σ')\nP_δψS = Symbol('P_δψS')\nh = Symbol('h')\nΖ = Symbol('Ζ')\ne = Eq(Σ, sin(Ζ)**exp(P_δψS - h))"
<mml:msub>\n<mml:mi>Ω</mml:mi>\n<mml:mrow>\n<mml:mi>α</mml:mi>\n<mml:mi>Y</mml:mi>\n</mml:mrow>\n</mml:msub>\n<mml:mo>=</mml:mo>\n<mml:mrow>\n<mml:mrow>\n<mml:mfrac>\n<mml:mrow>\n<mml:mi>log</mml:mi>\n<mml:mfenced>\n<mml:mi>v</mml:mi>\n</mml:mfenced>\n</mml:mrow>\n<mml:mrow>\n<mml:mi>cos</mml:mi>\n<mml:mfenced>\n<mml:mrow>\n<mml:msub>\n<mml:mi>Χ</mml:mi>\n<mml:mrow>\n<mml:mi>Π</mml:mi>\n<mml:mi>ζ</mml:mi>\n</mml:mrow>\n</mml:msub>\n<mml:mo>+</mml:mo>\n<mml:mi>η</mml:mi>\n</mml:mrow>\n</mml:mfenced>\n</mml:mrow>\n</mml:mfrac>\n</mml:mrow>\n<mml:mo>-</mml:mo>\n<mml:mrow>\n<mml:mi>sin</mml:mi>\n<mml:mfenced>\n<mml:msub>\n<mml:mi>Θ</mml:mi>\n<mml:mi>κ</mml:mi>\n</mml:msub>\n</mml:mfenced>\n</mml:mrow>\n</mml:mrow>,"Ω_αY = Symbol('Ω_αY')\nv = Symbol('v')\nΧ_Πζ = Symbol('Χ_Πζ')\nη = Symbol('η')\nΘ_κ = Symbol('Θ_κ')\ne = Eq(Ω_αY, log(v)/cos(Χ_Πζ + η) - sin(Θ_κ))"
<mml:mi>Ρ</mml:mi>\n<mml:mo>=</mml:mo>\n<mml:mrow>\n<mml:msup>\n<mml:msup>\n<mml:mtext>exp</mml:mtext>\n<mml:mi>d</mml:mi>\n</mml:msup>\n<mml:mi>F</mml:mi>\n</mml:msup>\n<mml:mo>-</mml:mo>\n<mml:mn>9</mml:mn>\n</mml:mrow>,"Ρ = Symbol('Ρ')\nF = Symbol('F')\nd = Symbol('d')\ne = Eq(Ρ, exp(d)**F - 9)"
<mml:mi>Δ</mml:mi>\n<mml:mo>=</mml:mo>\n<mml:mrow>\n<mml:mfrac>\n<mml:mrow>\n<mml:mi>log</mml:mi>\n<mml:mfenced>\n<mml:mi>h</mml:mi>\n</mml:mfenced>\n</mml:mrow>\n<mml:mrow>\n<mml:mi>sin</mml:mi>\n<mml:mfenced>\n<mml:mi>w</mml:mi>\n</mml:mfenced>\n</mml:mrow>\n</mml:mfrac>\n</mml:mrow>,"Δ = Symbol('Δ')\nh = Symbol('h')\nw = Symbol('w')\ne = Eq(Δ, log(h)/sin(w))"
<mml:mi>Ζ</mml:mi>\n<mml:mo>=</mml:mo>\n<mml:msup>\n<mml:msup>\n<mml:mtext>exp</mml:mtext>\n<mml:mi>Ξ</mml:mi>\n</mml:msup>\n<mml:mrow>\n<mml:mi>log</mml:mi>\n<mml:mfenced>\n<mml:msub>\n<mml:mi>v</mml:mi>\n<mml:mrow>\n<mml:mi>m</mml:mi>\n<mml:mi>g</mml:mi>\n<mml:mi>π</mml:mi>\n</mml:mrow>\n</mml:msub>\n</mml:mfenced>\n</mml:mrow>\n</mml:msup>,"Ζ = Symbol('Ζ')\nv_mgπ = Symbol('v_mgπ')\nΞ = Symbol('Ξ')\ne = Eq(Ζ, exp(Ξ)**log(v_mgπ))"
<mml:mi>ο</mml:mi>\n<mml:mo>=</mml:mo>\n<mml:mrow>\n<mml:msqrt>\n<mml:msub>\n<mml:mi>σ</mml:mi>\n<mml:mrow>\n<mml:mi>α</mml:mi>\n<mml:mi>o</mml:mi>\n</mml:mrow>\n</mml:msub>\n</mml:msqrt>\n<mml:mo>-</mml:mo>\n<mml:mrow>\n<mml:mfrac>\n<mml:mn>8</mml:mn>\n<mml:mrow>\n<mml:mi>sin</mml:mi>\n<mml:mfenced>\n<mml:mrow>\n<mml:mi>A</mml:mi>\n<mml:mo>-</mml:mo>\n<mml:mn>5</mml:mn>\n</mml:mrow>\n</mml:mfenced>\n</mml:mrow>\n</mml:mfrac>\n</mml:mrow>\n</mml:mrow>,"ο = Symbol('ο')\nσ_αo = Symbol('σ_αo')\nA = Symbol('A')\ne = Eq(ο, sqrt(σ_αo) - 8/sin(A - 5))"
<mml:mi>τ</mml:mi>\n<mml:mo>=</mml:mo>\n<mml:mrow>\n<mml:mrow>\n<mml:mo>-</mml:mo>\n<mml:msup>\n<mml:mtext>exp</mml:mtext>\n<mml:mrow>\n<mml:msub>\n<mml:mi>η</mml:mi>\n<mml:mrow>\n<mml:mi>π</mml:mi>\n<mml:mi>ξ</mml:mi>\n<mml:mi>ν</mml:mi>\n</mml:mrow>\n</mml:msub>\n<mml:mo>+</mml:mo>\n<mml:mn>4</mml:mn>\n</mml:mrow>\n</mml:msup>\n</mml:mrow>\n<mml:mo>+</mml:mo>\n<mml:mrow>\n<mml:mi>sin</mml:mi>\n<mml:mfenced>\n<mml:msub>\n<mml:mi>b</mml:mi>\n<mml:mrow>\n<mml:mi>Ο</mml:mi>\n<mml:mi>Β</mml:mi>\n<mml:mi>w</mml:mi>\n</mml:mrow>\n</mml:msub>\n</mml:mfenced>\n</mml:mrow>\n</mml:mrow>,"τ = Symbol('τ')\nη_πξν = Symbol('η_πξν')\nb_ΟΒw = Symbol('b_ΟΒw')\ne = Eq(τ, -exp(η_πξν + 4) + sin(b_ΟΒw))"
